Amazonas|AMA
Ancash|ANC
Apurimac|APU
Arequipa|ARE
Ayacucho|AYA
Cajamarca|CAJ
Callao|CAL
Cusco|CUS
Huancavelica|HUV
Huanuco|HUC
Ica|ICA
Junin|JUN
La Libertad|LAL
Lambayeque|LAM
Lima|LIM
Loreto|LOR
Madre de Dios|MDD
Moquegua|MOQ
Municipalidad Metropolitana de Lima|LMA
Pasco|PAS
Piura|PIU
Puno|PUN
San Martin|SAM
Tacna|TAC
Tumbes|TUM
Ucayali|UCA
