Bougainville|NSB
Central|CPM
Chimbu|CPK
East New Britain|EBR
East Sepik|ESW
Eastern Highlands|EHG
Enga|EPW
Gulf|GPK
Hela|HLA
Jiwaka|JWK
Madang|MOM
Manus|MRL
Milne Bay|MBA
Morobe|MPL
Port Moresby|NCD
New Ireland|NIK
Northern|NPP
Southern Highlands|SHM
West New Britain|WBK
West Sepik|SAN
Western|WPD
Western Highlands|WHM
